date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:48:50	58121/58121	---M-Z	200	added ('OK')	text/html	etag:%22e309-670c836b-f6c7060c065bda7c;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/about.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/about.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:50	38956/38956	---M-Z	200	added ('OK')	text/html	etag:%22982c-670c8382-3620fcc9daa11343;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/shop.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/shop.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:51	37851/37851	---M-Z	200	added ('OK')	text/html	etag:%2293db-670c8383-841fe882cb183130;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/shop-details.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/shop-details.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:51	26174/26174	---M-Z	200	added ('OK')	text/html	etag:%22663e-670c836d-eff6c015228eb27b;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/cart.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/cart.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:51	25580/25580	---M-Z	200	added ('OK')	text/html	etag:%2263ec-670c836f-fcd6a149bcb7665f;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/checkout.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/checkout.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:51	19543/19543	---M-Z	200	added ('OK')	text/html	etag:%224c57-670c837a-a1b624a5e319278;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/login.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/login.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:52	19134/19134	---M-Z	200	added ('OK')	text/html	etag:%224abe-670c8385-4f9a767672b5cfeb;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/sign-up.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/sign-up.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:52	16728/16728	---M-Z	200	added ('OK')	text/html	etag:%224158-670c837c-ecf4445021755c0a;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/reset-password.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/reset-password.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:52	20639/20639	---M-Z	200	added ('OK')	text/html	etag:%22509f-670c837c-6eba724f57bcfb9c;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/monks.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/monks.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:53	24348/24348	---M-Z	200	added ('OK')	text/html	etag:%225f1c-670c837a-d52d240dd03a309c;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/monk-details.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/monk-details.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:53	52095/52095	---M-Z	200	added ('OK')	text/html	etag:%22cb7f-670c8380-9ddcfe28457dc870;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/services.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/services.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:53	29986/29986	---M-Z	200	added ('OK')	text/html	etag:%227522-670c8381-c917abab883d0442;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/services-details.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/services-details.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:54	22742/22742	---M-Z	200	added ('OK')	text/html	etag:%2258d6-670c837b-a91028c691c4379f;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/privacy.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/privacy.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:54	35478/35478	---M-Z	200	added ('OK')	text/html	etag:%228a96-670c8374-acad6e07ee49a925;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/faq.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/faq.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:54	16585/16585	---M-Z	200	added ('OK')	text/html	etag:%2240c9-670c8369-f4f14be00bc08b8b;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/404.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/404.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:54	21929/21929	---M-Z	200	added ('OK')	text/html	etag:%2255a9-670c8375-18a3de21507901a6;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/gallery.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/gallery.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:55	21992/21992	---M-Z	200	added ('OK')	text/html	etag:%2255e8-670c8375-d98f7a383717c1a5;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/gallery-mixed.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/gallery-mixed.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:55	22152/22152	---M-Z	200	added ('OK')	text/html	etag:%225688-670c8374-52479c5e5e90a3ea;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/gallery-details.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/gallery-details.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:55	30380/30380	---M-Z	200	added ('OK')	text/html	etag:%2276ac-670c836c-3b289652141843d;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/blog.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/blog.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:56	32870/32870	---M-Z	200	added ('OK')	text/html	etag:%228066-670c836d-4e8b99bf46108ee7;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/blog-details.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/blog-details.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:56	22153/22153	---M-Z	200	added ('OK')	text/html	etag:%225689-670c836f-7ceb369501f4abb3;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/contact.html	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/contact.html	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:57	152693/152693	---M--	200	added ('OK')	image/jpeg	etag:%2225475-6707ac28-4442c558629357ce;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/hero/hero-bg-4.jpg	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/hero/hero-bg-4.jpg	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:57	454837/454837	---M--	200	added ('OK')	image/jpeg	etag:%226f0b5-6707ac28-3c1fdd62f886222b;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/hero/hero-bg-2.jpg	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/hero/hero-bg-2.jpg	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:58	4472/4472	---M--	200	added ('OK')	image/png	etag:%221178-6707ac28-5885236fc70de464;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/icons/about01.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/icons/about01.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:58	3353/3353	---M--	200	added ('OK')	image/png	etag:%22d19-6707ac28-a71e9fa59565fc63;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/icons/about02.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/icons/about02.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:59	181572/181572	---M--	200	added ('OK')	image/jpeg	etag:%222c544-6707ac28-ed7635c120b5f516;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/hero/hero-bg-3.jpg	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/hero/hero-bg-3.jpg	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:59	256026/256026	---M--	200	added ('OK')	image/png	etag:%223e81a-6707ac28-28413b307f6fffc0;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/section/about-pic.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/section/about-pic.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:59	175965/175965	---M--	200	added ('OK')	image/png	etag:%222af5d-6707ac28-c1e966b280400738;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/section/about-shape.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/section/about-shape.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:59	7080/7080	---M--	200	added ('OK')	image/png	etag:%221ba8-6707ac28-2525fb11ea6297ff;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/program/program-tab01.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/program/program-tab01.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:48:59	10335/10335	---M--	200	added ('OK')	image/png	etag:%22285f-6707ac28-519b7557efaf8072;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/program/program-tab02.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/program/program-tab02.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:00	7941/7941	---M--	200	added ('OK')	image/png	etag:%221f05-6707ac28-1d74a61fee43a92;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/program/program-tab03.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/program/program-tab03.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:00	108040/108040	---M--	200	added ('OK')	image/png	etag:%221a608-6707ac28-191e58e33804c0e3;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/program/program01.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/program/program01.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:00	97524/97524	---M--	200	added ('OK')	image/png	etag:%2217cf4-6707ac28-31fa229afbe153e;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/program/program02.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/program/program02.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:01	124352/124352	---M--	200	added ('OK')	image/png	etag:%221e5c0-6707ac28-f66b2cc7241441fe;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/program/program03.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/program/program03.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:01	125934/125934	---M--	200	added ('OK')	image/png	etag:%221ebee-6707ac28-17b342d797c368f;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/program/program04.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/program/program04.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:01	98710/98710	---M--	200	added ('OK')	image/png	etag:%2218196-6707ac28-5cd64ae6c881ff9d;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/program/program05.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/program/program05.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:02	97574/97574	---M--	200	added ('OK')	image/png	etag:%2217d26-6707ac28-5e32151cef4675c7;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/program/program06.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/program/program06.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:02	89696/89696	---M--	200	added ('OK')	image/jpeg	etag:%2215e60-6707ac28-6f8ab5848d1dd497;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/services/pic05.jpg	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/services/pic05.jpg	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:02	114632/114632	---M--	200	added ('OK')	image/png	etag:%221bfc8-6707ac28-23908ddf10e79d40;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/team/team01.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/team/team01.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:02	66950/66950	---M--	200	added ('OK')	image/png	etag:%2210586-6707ac28-d73cba6d286c57ad;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/team/team02.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/team/team02.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:03	88253/88253	---M--	200	added ('OK')	image/png	etag:%22158bd-6707ac28-7f72975dfeee86;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/team/team03.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/team/team03.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:03	106305/106305	---M--	200	added ('OK')	image/png	etag:%2219f41-6707ac28-8ff0e6a4e9032f8a;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/team/team04.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/team/team04.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:03	1441/1441	---M--	200	added ('OK')	image/png	etag:%225a1-6707ac28-9445bcb6c50f2087;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/icons/play-icon.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/icons/play-icon.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:03	748/748	---M--	200	added ('OK')	image/png	etag:%222ec-6707ac28-eb194a778bf1b72c;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/icons/apple-icon.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/icons/apple-icon.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:04	1776/1776	---M--	200	added ('OK')	image/png	etag:%226f0-6707ac28-255d9558e0a8cfac;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/payments/visa.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/payments/visa.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:04	2199/2199	---M--	200	added ('OK')	image/png	etag:%22897-6707ac28-24341c99b19116c6;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/payments/mastercard.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/payments/mastercard.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:04	3026/3026	---M--	200	added ('OK')	image/png	etag:%22bd2-6707ac28-3a6aeb35602b9829;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/payments/upi.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/payments/upi.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:05	1862/1862	---M--	200	added ('OK')	image/png	etag:%22746-6707ac28-70d1cfaa319d7039;;;%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/payments/paypal.png	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/images/payments/paypal.png	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:05	86927/86927	---M-Z	200	added ('OK')	application/x-javascript	etag:%221538f-6707ac28-1aebdd267249c60;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/js/jquery.min.js	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/js/jquery.min.js	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:05	92547/92547	---M-Z	200	added ('OK')	application/x-javascript	etag:%2216983-6707ac28-12e80b2c92e4769d;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/js/bootstrap.bundle.min.js	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:05	8155/8155	---M-Z	200	added ('OK')	application/x-javascript	etag:%221fdb-6707ac28-8bb800b08ff8a08;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/js/wow.min.js	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/js/wow.min.js	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:06	44342/44342	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ad36-6707ac28-8a958a46337d3837;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/js/owl.carousel.min.js	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/js/owl.carousel.min.js	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:06	20216/20216	---M-Z	200	added ('OK')	application/x-javascript	etag:%224ef8-6707ac28-d80555a7c8fe5bea;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/js/jquery.magnific-popup.min.js	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:06	8651/8651	---M-Z	200	added ('OK')	application/x-javascript	etag:%2221cb-6707ac28-1027f95b0cb48b7f;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/js/main.js	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/js/main.js	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:07	906/906	---M-Z	200	added ('OK')	application/x-javascript	etag:%2238a-6707ac28-8364f270956223a7;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/js/counter.js	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/js/counter.js	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/index-banner.html)
10:49:07	98255/98255	---M-Z	200	added ('OK')	text/css	etag:W/%2217fcf-nuSWzJuqrli5jn/B60bjV42vgUM%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.css	C:/My%20Web%20Sites/Buddhism-Life/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.css	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/css/main.css)
10:49:07	298777/298777	---M-Z	200	added ('OK')	text/css	etag:%2248f19-6707ad41-d93f9db6d2f410a8;gz%22	https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Buddhism-Life/themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/css/bootstrap.min.css	(from https://themeslay.com/preview/items/HTML-Websites/Buddhism-Life/assets/css/main.css)
